"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1095","Можно создать заказ с двумя цветами","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_create_order","",""
"","576","test_create_order_with_colors[None]","tests","2026-01-17","passed","2026-01-17","TestCreateOrder","test_create_order","",""
"","987","Можно создать заказ без указания цвета","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_create_order","",""
"","992","Нельзя создать двух одинаковых курьеров","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_create_courier","",""
"","469","Курьер может авторизоваться","tests","2026-01-19","passed","2026-01-19","TestLoginCourier","test_login_courier","",""
"","1057","Можно создать заказ с одним цветом","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_create_order","",""
"","9714","В ответе возвращается список заказов","tests","2026-01-19","passed","2026-01-19","TestGetOrdersList","test_get_orders_list","",""
"","448","Ошибка если не передан номер заказа","tests","2026-01-19","passed","2026-01-19","TestGetOrderByNumber","test_get_order_by_number","",""
"","2016","Курьер может принять заказ","tests","2026-01-19","passed","2026-01-19","TestAcceptOrder","test_accept_order","",""
"","486","Ошибка при запросе несуществующего заказа","tests","2026-01-19","passed","2026-01-19","TestGetOrderByNumber","test_get_order_by_number","",""
"","519","Ошибка при удалении несуществующего курьера","tests","2026-01-19","passed","2026-01-19","TestDeleteCourier","test_delete_courier","",""
"","476","Ошибка при неверном id заказа","tests","2026-01-19","passed","2026-01-19","TestAcceptOrder","test_accept_order","",""
"","1315","Можно создать заказ с одним цветом","tests","2026-01-19","passed","2026-01-19","TestCreateOrder","test_create_order","",""
"","475","Курьера можно удалить","tests","2026-01-19","passed","2026-01-19","TestDeleteCourier","test_delete_courier","",""
"","573","Ошибка при неверном пароле","tests","2026-01-19","passed","2026-01-19","TestLoginCourier","test_login_courier","",""
"","577","test_create_order_with_colors[colors2]","tests","2026-01-17","passed","2026-01-17","TestCreateOrder","test_create_order","",""
"","1523","Можно получить заказ по номеру","tests","2026-01-19","passed","2026-01-19","TestGetOrderByNumber","test_get_order_by_number","",""
"","492","Ошибка если не передан логин","tests","2026-01-19","passed","2026-01-19","TestLoginCourier","test_login_courier","",""
"","465","Ошибка при логине несуществующего пользователя","tests","2026-01-19","passed","2026-01-19","TestLoginCourier","test_login_courier","",""
"","459","Нельзя создать курьера без логина","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_create_courier","",""
"","496","Курьера можно создать","tests","2026-01-19","passed","2026-01-19","TestCreateCourier","test_create_courier","",""
"","1948","Ошибка, если не передан id курьера","tests","2026-01-19","passed","2026-01-19","TestAcceptOrder","test_accept_order","",""
"","267","test_delete_courier_without_id","tests","2026-01-17","passed","2026-01-17","TestDeleteCourier","test_delete_courier","",""
"","673","test_create_order_with_colors[colors1]","tests","2026-01-17","passed","2026-01-17","TestCreateOrder","test_create_order","",""
"","518","test_create_order_with_colors[colors0]","tests","2026-01-17","passed","2026-01-17","TestCreateOrder","test_create_order","",""
